price,volume,symbol
2715,7382,11536_NSE
2715.45,2994,11536_NSE
2716.05,1588,11536_NSE
2716.05,8066,11536_NSE
2716.95,1584,11536_NSE
2716.5,1115,11536_NSE
2716,3538,11536_NSE
2716.8,4657,11536_NSE
2713.2,2025,11536_NSE
2713.55,1532,11536_NSE
2710.6499,2235,11536_NSE
2707.6499,2121,11536_NSE
2710.6499,1728,11536_NSE
2710.7,1154,11536_NSE
2710,1892,11536_NSE
2712.5,2581,11536_NSE
2710.7,1885,11536_NSE
2710.3,1198,11536_NSE
2711.6001,870,11536_NSE
2710.95,838,11536_NSE
2709.3999,3455,11536_NSE
2708.1499,2290,11536_NSE
2711,1954,11536_NSE
2710.8,2933,11536_NSE
2710.8501,1288,11536_NSE
2709.75,1863,11536_NSE
2709.95,1618,11536_NSE
2713.3501,2036,11536_NSE
2712.45,944,11536_NSE
2711,1214,11536_NSE
2711.8501,1073,11536_NSE
2714.7,1261,11536_NSE
2712.1001,897,11536_NSE
2710.8,1087,11536_NSE
2711,994,11536_NSE
2710.1001,1223,11536_NSE
2710.05,2539,11536_NSE
2710.8,1039,11536_NSE
2708.8,1885,11536_NSE
2708.05,932,11536_NSE
2710.1001,1069,11536_NSE
2709,925,11536_NSE
2709,1191,11536_NSE
2708,1170,11536_NSE
2707,1638,11536_NSE
2707.1499,4827,11536_NSE
2707.5,3091,11536_NSE
2704.55,1203,11536_NSE
2704,1652,11536_NSE
2704.3999,2530,11536_NSE
2704,1673,11536_NSE
2702.1001,4619,11536_NSE
2702.5,2059,11536_NSE
2705.1001,1091,11536_NSE
2702.8501,3272,11536_NSE
2703.6499,1017,11536_NSE
2704.2,1095,11536_NSE
2703.2,966,11536_NSE
2706.1001,1477,11536_NSE
2708.7,1721,11536_NSE
2708.7,1364,11536_NSE
2707.95,1069,11536_NSE
2711.05,2604,11536_NSE
2710.3501,1642,11536_NSE
2712.45,1346,11536_NSE
2709.6001,1423,11536_NSE
2709.8,729,11536_NSE
2708.6001,916,11536_NSE
2710,1139,11536_NSE
2710,1621,11536_NSE
2710.05,1011,11536_NSE
2712.8999,1765,11536_NSE
2713.55,2397,11536_NSE
2713.55,978,11536_NSE
2716.3999,2617,11536_NSE
2715,1677,11536_NSE
2716.1001,1811,11536_NSE
2716,2065,11536_NSE
2715,2838,11536_NSE
2714,3220,11536_NSE
2715,1724,11536_NSE
