Date,Type,open,close,low,High,Candle Mean,Moving Average Short,Moving Average Medium,Moving Average Long,EXPONENTIAL AVERAGE,RSI,Pattern
29-Sep-20,Bear,343.4,341.0,336.9,346.4,342.2,344.5750000000001,338.96799999999996,184.5455,340.837678738914,57.95099662551613,[]
30-Sep-20,Bull,340.55,341.75,330.0,346.55,341.15,343.6675000000001,339.5629999999999,186.25424999999998,340.92456647806506,65.11186795913021,['Doji']
01-Oct-20,Bull,345.5,353.3,344.5,354.9,349.4,343.0325,340.3509999999999,188.02075000000002,342.1031791944398,65.19066090902439,[]
05-Oct-20,Bear,355.9,350.35,348.45,358.0,353.125,342.90000000000003,341.1699999999999,189.7725,342.88859069973125,57.85284735658632,[]
06-Oct-20,Bull,356.0,362.9,354.85,364.5,359.45,343.4425,342.24699999999996,191.58700000000002,344.79443920451877,57.94301815904822,[]
07-Oct-20,Bear,362.55,360.65,359.0,368.75,361.6,344.195,343.088,193.39025,346.30449261361224,50.48873512432004,['Doji']
08-Oct-20,Bear,359.8,359.75,356.35,362.8,359.775,344.99,343.98,195.18900000000002,347.58501712660154,50.34550839091806,['Doji']
09-Oct-20,Bear,361.0,357.2,355.15,362.45,359.1,345.77,344.874,196.975,348.5007297812109,42.914302342499646,[]
12-Oct-20,Bear,359.1,357.65,355.05,362.85,358.375,346.5275,345.72299999999996,198.76325,349.372088849667,50.24580472525877,['Doji']
13-Oct-20,Bear,357.65,349.9,348.4,358.65,353.775,346.43999999999994,346.494,200.51275,349.4223661020797,50.06303606489615,[]
14-Oct-20,Bear,349.1,348.95,344.7,351.2,349.025,346.25499999999994,347.17400000000004,202.2575,349.3773788542626,49.81235283835611,['Doji']
15-Oct-20,Bear,350.6,342.8,341.25,353.85,346.70000000000005,345.7175,347.48799999999994,203.97150000000002,348.7509618205233,49.516547762628015,[]
16-Oct-20,Bull,344.35,349.95,341.95,354.75,347.15,345.90999999999997,348.01099999999997,205.72125,348.8651559328544,49.760969953414566,[]
19-Oct-20,Bear,352.6,347.55,344.8,352.6,350.07500000000005,345.3949999999999,348.4289999999999,207.459,348.7399029868683,42.783882039929324,[]
20-Oct-20,Bull,346.7,348.95,345.65,352.3,347.825,345.45,348.782,209.20375,348.75991222621417,42.876116512729,[]
21-Oct-20,Bull,350.25,355.35,349.55,360.15,352.8,346.60249999999996,349.18899999999996,210.9805,349.38753963324143,43.03321368990445,[]
22-Oct-20,Bull,350.55,358.35,350.15,364.05,354.45000000000005,348.29,349.532,212.77224999999999,350.2411072872184,43.091327798315255,[]
23-Oct-20,Bull,360.0,364.35,357.65,369.0,362.175,350.82000000000005,349.86599999999993,214.59399999999997,351.5848113551024,50.30920774328707,[]
26-Oct-20,Bear,366.0,363.7,360.35,373.9,364.85,352.69750000000005,350.17799999999994,216.41249999999997,352.7386388450926,42.992084751565926,['Doji']
27-Oct-20,Bull,360.2,364.4,351.0,366.2,362.29999999999995,353.94,350.31699999999995,218.23449999999997,353.8492446693695,50.2933274298882,[]
28-Oct-20,Bear,363.0,353.65,352.0,370.0,358.325,354.57250000000005,350.24100000000004,220.00275,353.8302689865724,50.35514583648179,['ENGULFING']
29-Oct-20,Bear,350.55,342.7,341.15,350.55,346.625,354.62,349.9620000000001,221.71624999999997,352.77024336880356,50.50270297579953,[]
30-Oct-20,Bull,345.2,359.85,343.2,362.7,352.525,354.94750000000005,350.08700000000005,223.51549999999995,353.44450590510803,50.52469977476795,[]
02-Nov-20,Bear,360.0,356.9,351.2,362.7,358.45,355.275,350.1380000000001,225.29999999999995,353.77360058081206,50.45335807723729,[]
03-Nov-20,Bear,362.0,353.65,347.2,362.65,357.825,354.81249999999994,350.23100000000005,227.06824999999998,353.76182909692517,50.405570166157815,[]
04-Nov-20,Bear,367.65,361.1,349.6,369.5,364.375,354.8349999999999,350.53100000000006,228.87374999999997,354.46070251626566,57.47071047796885,[]
05-Nov-20,Bull,366.05,368.65,364.3,374.65,367.35,355.2799999999999,350.8190000000001,230.71699999999998,355.8120641813832,57.62979706550114,[]
06-Nov-20,Bull,368.65,371.1,365.8,375.9,369.875,355.97499999999997,351.2300000000001,232.57249999999996,357.2680580688706,64.74804388078125,['Doji']
09-Nov-20,Bear,375.0,367.05,366.0,376.0,371.025,356.445,351.37,234.40774999999996,358.199671586121,57.59304078717664,['ENGULFING']
10-Nov-20,Bear,370.7,366.75,364.15,374.5,368.725,357.2875,351.59,236.24149999999997,359.013988577919,50.429515854479234,[]
11-Nov-20,Bull,366.75,371.6,365.25,372.45,369.175,358.41999999999996,352.04600000000005,238.09949999999998,360.2126563324029,50.55918032948702,[]
12-Nov-20,Bear,373.0,368.05,366.1,375.6,370.525,359.6825,352.209,239.93974999999998,360.95907001503116,43.33468135683497,['DARK CLOUD']
13-Nov-20,Bear,367.5,365.5,362.7,370.4,366.5,360.46000000000004,352.199,241.76725,361.39153953740913,43.3192991451306,[]
14-Nov-20,Bear,369.0,366.1,363.0,369.0,367.55,361.38750000000005,352.461,243.59775,361.8399643433702,43.338294579756145,[]
17-Nov-20,Bull,368.5,379.65,366.25,386.75,374.075,362.9225,353.01300000000003,245.49599999999998,363.53615821543013,50.56338442528905,[]
18-Nov-20,Bull,382.0,391.1,382.0,395.2,386.55,364.7100000000001,353.923,247.45149999999998,366.16128600443676,57.68644174818586,[]
19-Nov-20,Bear,390.0,381.9,379.6,392.7,385.95,365.88750000000005,354.684,249.361,367.66021114687135,50.47880675552804,['ENGULFING']
20-Nov-20,Bear,381.0,375.85,373.0,382.65,378.425,366.46250000000003,355.369,251.24024999999997,368.44019103764555,50.294426615009485,[]
23-Nov-20,Bear,375.85,375.15,370.3,379.35,375.5,367.035,356.02200000000005,253.11599999999999,369.0792204626317,50.08685970957184,['Doji']
24-Nov-20,Bull,378.0,392.25,376.0,402.0,385.125,368.4275,356.834,255.07725,371.28596137095246,50.38353655046082,[]
25-Nov-20,Bull,396.3,398.95,384.4,404.7,397.625,370.6925,357.76,257.07199999999995,373.92063171657605,50.66875355719977,['Doji']
26-Nov-20,Bull,400.8,410.15,395.65,413.0,405.475,374.06499999999994,358.89200000000005,259.12275,377.3710477435688,51.031534542989235,[]
27-Nov-20,Bull,411.0,411.55,408.2,416.0,411.275,376.65,360.2010000000001,261.1805,380.6261860537051,58.293414012382,['Doji']
01-Dec-20,Bull,415.0,423.8,412.0,426.0,419.4,379.995,361.52,263.2995,384.73797785811416,65.51020031044423,[]
02-Dec-20,Bull,424.9,438.2,420.35,442.0,431.54999999999995,384.22249999999997,363.32700000000006,265.4905,389.82959901448424,65.92950239129641,[]
03-Dec-20,Bear,442.0,435.8,433.05,444.5,438.9,387.9575,365.397,267.6695,394.2077324416762,65.12409956815333,[]
04-Dec-20,Bull,439.7,453.7,439.0,458.3,446.7,392.21,367.97900000000004,269.938,399.8736626853261,72.15729080695402,[]
07-Dec-20,Bull,461.0,471.5,459.0,474.9,466.25,397.22999999999996,371.134,272.2955,406.695218620057,72.66858900087986,[]
08-Dec-20,Bear,472.7,463.35,457.55,474.7,468.025,402.04499999999996,373.87799999999993,274.61224999999996,412.0909120848135,65.10453784398746,[]
09-Dec-20,Bear,467.65,463.9,458.15,469.9,465.775,406.90250000000003,376.36499999999995,276.93174999999997,417.02511093387886,65.5354008191925,[]
10-Dec-20,Bull,463.9,471.0,457.0,474.1,467.45,411.87250000000006,378.965,279.28675,422.1655765592237,72.42926242450064,[]
11-Dec-20,Bear,471.75,466.3,462.7,475.0,469.025,416.78499999999997,381.4559999999999,281.61825,426.3688549821548,71.35097768121668,[]
14-Dec-20,Bear,468.6,467.0,463.1,472.45,467.8,421.86,383.7299999999999,283.95325,430.2384878409972,77.86037989768867,['Doji']
15-Dec-20,Bull,469.5,475.75,461.45,479.65,472.625,427.34250000000003,386.23799999999994,286.332,434.57291757042606,78.156120269719,[]
16-Dec-20,Bear,480.0,475.55,473.15,480.45,477.775,432.1375,388.49099999999993,288.70975000000004,438.47549684943306,70.9050106281262,[]
